Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
6219,62.200067,-0.0140549587,-0.00939576235,0.000661528786,-2.01415205,0.113731712,9.83045578
6220,62.210006,-0.00553284306,0.0129747912,-0.0131869093,-1.9609549,0.130241156,9.88181877
6221,62.219962,0.00831559487,-0.00619996851,0.00279205781,-1.94811416,0.122903623,9.85246754
6222,62.229887,0.00192400813,0.00445267605,0.00492258649,-1.97012675,0.174266338,9.82128334
6223,62.239842,-0.00340231415,-0.0136568202,0.00492258649,-2.02515817,0.0953878835,9.86163998
6224,62.250376,-0.00233704969,-0.00513470406,-0.00146900013,-2.01048326,0.172431946,9.88181877
6225,62.260407,-0.00979390088,-0.0136568202,0.0123794377,-2.02148938,0.150419369,9.85063457
6226,62.269984,0.000858743675,-0.0115262913,-0.00359952892,-2.00498009,0.126572385,9.86347485
6227,62.279950,-0.0204465464,-0.0157873482,-0.0110563803,-1.99213946,0.0917191282,9.89465904
6228,62.289888,-0.0119244298,0.0055179405,-0.00253426447,-1.98847067,0.110062949,9.80110645
6229,62.299838,0.00831559487,0.00125688268,-0.0185132325,-1.98663616,0.166928798,9.82862186
6230,62.309994,0.0051198015,0.00232214713,0.00705311541,-1.9811331,0.133909926,9.86714363
6231,62.319985,0.00725033041,-0.0211136695,-0.00466479361,-1.93343914,0.179769486,9.81394672
6232,62.329915,-0.00979390088,-0.0221789349,-0.0131869093,-1.93160474,0.148584977,9.82128334
6233,62.340077,0.00405453704,-0.00726523297,0.00385732227,-1.92793608,0.154088125,9.8066082
6234,62.349852,-0.000206520781,0.000191618165,-0.0206437595,-1.97562993,0.157756895,9.83779335
6235,62.360036,-0.00127178524,-0.0285705216,-0.0217090249,-1.9609549,0.154088125,9.86714363
6236,62.369975,-0.00340231415,-0.0040694396,0.0102489088,-2.00681448,0.117400482,9.81761551
6237,62.379939,0.0168377124,-0.00833049789,0.00279205781,-1.93343914,0.0953878835,9.87081146
6238,62.389876,-0.0044675786,-0.0040694396,0.00172679324,-1.99397373,0.146750599,9.85980606
6239,62.399820,-0.0044675786,-0.0104610268,0.00598785095,-1.9627893,0.110062949,9.78459549
6240,62.410174,0.0104461238,0.0161705855,0.00705311541,-1.97012675,0.199947685,9.82678699
6241,62.419944,0.0147071807,0.000191618165,0.00705311541,-1.98847067,0.0752096847,9.83045578
6242,62.430112,0.000858743675,-0.000873646291,-0.00679532252,-1.96645796,0.146750599,9.84879971
6243,62.439901,-0.0044675786,0.000191618165,-0.00253426447,-2.00681448,0.133909926,9.86714363
